Timestamp, COUNTER, INTERPOLATED, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1649066937.6317, 22, 0, 4131.154, 4128.846, 4133.974, 4135.128, 4136.154, 4128.462, 4131.667, 4135, 4137.308, 4137.179, 4186.154, 4902.692, 4135.769, 4138.077, 0, 0, []
1649066937.6396, 23, 0, 4128.462, 4132.692, 4138.077, 4136.41, 4135.513, 4130.128, 4133.205, 4135, 4135, 4136.923, 4186.154, 4901.795, 4136.154, 4136.795, 0, 0, []
1649066937.6474, 24, 0, 4132.308, 4132.308, 4136.41, 4137.051, 4135, 4132.051, 4130.513, 4135.256, 4138.077, 4137.179, 4186.154, 4901.795, 4131.923, 4140.256, 0, 0, []
1649066937.6553, 25, 0, 4134.487, 4128.718, 4134.231, 4135.769, 4134.487, 4129.487, 4126.026, 4135.385, 4138.974, 4137.179, 4186.154, 4903.462, 4131.154, 4139.487, 0, 0, []
1649066937.6631, 26, 0, 4134.231, 4132.436, 4131.667, 4135.256, 4135.769, 4129.487, 4125.641, 4135.769, 4136.282, 4137.179, 4186.154, 4902.436, 4137.179, 4139.487, 0, 0, []
1649066937.6709, 27, 0, 4131.282, 4131.667, 4133.846, 4135.256, 4134.231, 4131.795, 4135.513, 4135.128, 4137.564, 4137.051, 4186.026, 4901.282, 4136.667, 4139.744, 0, 0, []
1649066937.6787, 28, 0, 4131.282, 4129.103, 4138.718, 4135.641, 4131.795, 4133.718, 4138.846, 4133.974, 4138.333, 4136.923, 4186.026, 4900.897, 4135, 4140.513, 0, 0, []
1649066937.6866, 29, 0, 4132.692, 4128.462, 4138.718, 4135, 4133.462, 4131.026, 4130.385, 4134.487, 4136.538, 4137.308, 4186.154, 4900, 4135.256, 4140.769, 0, 0, []
1649066937.6944, 30, 0, 4130.513, 4127.821, 4135.769, 4133.462, 4136.41, 4126.923, 4128.974, 4135.513, 4135.769, 4137.308, 4186.154, 4901.154, 4131.667, 4138.718, 0, 0, []
1649066937.7023, 31, 0, 4132.308, 4129.231, 4130.769, 4134.487, 4136.667, 4129.615, 4132.308, 4136.282, 4136.154, 4136.41, 4186.667, 4900.897, 4135.897, 4141.41, 0, 0, []
1649066937.71, 32, 0, 4133.59, 4128.59, 4131.154, 4137.051, 4136.026, 4131.795, 4130.897, 4136.41, 4136.795, 4138.333, 4187.821, 4899.615, 4136.667, 4140.769, 0, 0, []
1649066937.7179, 33, 0, 4131.538, 4129.872, 4135.256, 4136.667, 4135, 4130.385, 4130.256, 4136.154, 4136.538, 4140.256, 4188.333, 4901.154, 4132.051, 4136.923, 0, 0, []
1649066937.7257, 34, 0, 4131.154, 4131.41, 4136.154, 4134.744, 4135, 4130.897, 4130.769, 4136.026, 4136.538, 4137.949, 4187.051, 4900.385, 4135.256, 4138.205, 0, 0, []
1649066937.7336, 35, 0, 4133.974, 4128.333, 4133.462, 4135.513, 4137.692, 4132.179, 4131.282, 4136.154, 4137.436, 4135.897, 4185.256, 4898.718, 4136.154, 4139.487, 0, 0, []
1649066937.7414, 36, 0, 4136.923, 4131.795, 4130.128, 4136.026, 4138.59, 4132.179, 4129.744, 4136.41, 4137.436, 4136.923, 4184.872, 4899.231, 4136.41, 4141.282, 0, 0, []
1649066937.7493, 37, 0, 4134.487, 4135.256, 4133.59, 4135.897, 4136.795, 4129.744, 4128.846, 4135.256, 4135.897, 4137.179, 4185.513, 4901.282, 4137.179, 4140.769, 0, 0, []
1649066937.7572, 38, 0, 4133.333, 4132.051, 4135.256, 4136.282, 4138.077, 4129.872, 4132.564, 4134.231, 4135.769, 4136.538, 4184.615, 4902.179, 4137.051, 4139.103, 0, 0, []
1649066937.7652, 39, 0, 4132.949, 4131.41, 4130.128, 4135.256, 4138.333, 4130.385, 4130.641, 4134.487, 4136.795, 4138.333, 4184.872, 4903.462, 4139.744, 4139.744, 0, 0, []
1649066937.7731, 40, 0, 4129.615, 4133.718, 4132.051, 4135.641, 4135.513, 4129.872, 4127.179, 4134.744, 4136.026, 4138.718, 4187.949, 4905.641, 4136.538, 4137.436, 0, 0, []
1649066937.7811, 41, 0, 4131.667, 4133.59, 4134.872, 4135.641, 4134.359, 4132.179, 4128.718, 4133.974, 4136.41, 4136.923, 4188.077, 4902.821, 4133.59, 4138.077, 0, 0, []
1649066937.7889, 42, 0, 4132.692, 4128.59, 4135.128, 4135.385, 4135.385, 4131.667, 4128.718, 4134.872, 4137.692, 4138.462, 4185.897, 4900.256, 4135.769, 4138.462, 0, 0, []
1649066937.7969, 43, 0, 4129.359, 4130.769, 4134.487, 4135.897, 4135.256, 4130.513, 4127.051, 4136.41, 4136.667, 4140.385, 4185.769, 4901.026, 4137.692, 4137.308, 0, 0, []
1649066937.8048, 44, 0, 4130.128, 4136.026, 4132.692, 4135.513, 4135.128, 4130.897, 4130, 4135.641, 4135.385, 4137.821, 4186.538, 4899.231, 4138.718, 4138.718, 0, 0, []
1649066937.8127, 45, 0, 4132.308, 4129.615, 4134.103, 4135.256, 4135.513, 4129.359, 4131.538, 4135.128, 4135.897, 4135.641, 4186.154, 4900, 4137.949, 4137.949, 0, 0, []
1649066937.8207, 46, 0, 4133.333, 4130.769, 4132.821, 4136.41, 4137.308, 4130.128, 4128.077, 4136.538, 4136.538, 4136.923, 4186.538, 4901.154, 4139.744, 4141.538, 0, 0, []
1649066937.8285, 47, 0, 4132.821, 4135.897, 4130.897, 4137.051, 4135.897, 4130.128, 4132.564, 4137.949, 4135.513, 4137.179, 4187.436, 4899.359, 4137.821, 4142.308, 0, 0, []
